,Session ID,Author,Department,Abstract,Keywords
10,1,Bruce Donald Campbell,Computer Science,"In this talk I would review the work we have done to look at planning methods for deploying limited physical resources (e.g. sensors) strategically to support an extended Narragansett Bay ROMS model (ocean circulation model) reasonableness check, as well as introduce a process students can use to get used to sensor techniques via virtual deployment with a web-based application. Students can then use the simulated data to pursue analysis techniques they are taught in a multiple course Proficiency of Ocean Data Science (PODS) program at the University of Rhode Island.","['extended narragansett bay roms model ocean circulation model reasonableness check', 'deploying limited physical resources eg sensors strategically', 'ocean data science pods program', 'sensor techniques via virtual deployment', 'pursue analysis techniques']"
11,1,Luke Soliman,Warren Alpert Medical School,"The Bcl-2 family of apoptotic proteins have been implicated in the progression of several human cancers, and they are thus rational targets for the treatment of these cancers. While Bcl-2 proteins play unique roles in carcinogenesis, they have also been discovered to be crucial in modifying prostate cancer growth to an androgen-independent state. Because androgen deprivation therapy constitutes the backbone of first-line treatments for metastatic prostate cancer, this phenotypic switch from an androgen-dependent to an androgen-independent growth state causes increased difficulty to deliver effective clinical treatment for these patients. In collaboration with the Lifespan Cancer Institute of Rhode Island Hospital and the Brown Center for Biomedical Informatics, this project aims to study the global mRNA expression profiles in a cohort of patients with metastatic castration-resistant prostate cancer, with a specific focus on Bcl-2. Notably, this study seeks to yield novel contributions to the field of prostate cancer research by examining the differential expression between the primary tumors and their metastatic sites, especially in regards to Bcl-2 proteins. This work leverages past advances in the molecular role of Bcl-2, and builds on them to yield clinically-relevant insights for the treatment of advanced metastatic castration-resistant prostate cancer.","['androgenindependent growth state causes increased difficulty', 'advanced metastatic castrationresistant prostate cancer', 'bcl proteins play unique roles', 'modifying prostate cancer growth', 'work leverages past advances']"
12,1,Kaiyu Zheng,Computer Science,"In search and rescue missions such as securing hostages at a bank robbery scene, an autonomous search agent must locate moving targets that could be victims or adversarial suspects. Challenges arise due to noisy, partial sensing and uncertainty over target location and behavior. Especially when faced with adversarial targets, it becomes intractable to optimally model the target’s behavior due to nested beliefs. In this work,  we formulate this domain as a multi-agent Partially Observable Markov Decision Process with factored state and observation spaces. We (hope to) investigate ways of tractably modeling the dynamic and adversarial objects from either  perspectives,  and  (hope  to)  propose  algorithms  to  efficiently  plan  under such a framework. (Hopefully), our experiment results show that our method enables efficient autonomous agents that behave competitively as their human counterparts in terms of task success rate and efficiency","['autonomous search agent must locate moving targets', 'multiagent partially observable markov decision process', 'method enables efficient autonomous agents', 'adversarial suspects challenges arise due', 'task success rate']"
13,1,Kelsey Schuch,"Molecular Biology, Cell Biology, and Biochemistry"," 	Fatigue is poorly understood, beyond muscle energetics.  For the model organism C. elegans, swimming is a more energetically costly behavior than crawling and can be classified as a form of exercise (PMID 28395669).  After prolonged swimming, C. elegans show locomotion quiescence and cycle between activity and inactivity (PMID 19011210).  The most well studied period where C. elegans show locomotion quiescence is sleep; however, we have shown that the quiescent bouts observed after prolonged swimming exercise do not fully fit the behavioral criteria required to be classified as sleep.  It is likely that this locomotion quiescence is instead indicative of a fatigue state.  Using a computer vision program and other approaches we have also tested the role of several genes previously implicated in other periods of behavioral quiescence to determine whether they also affect quiescent bouts while swimming.  We have found that while there is some overlap between genes involved in regulating behavioral quiescence during C. elegans sleep and exercise-induced quiescence, distinct pathways underlie these behaviors.  Ultimately, we hope to better understand the pathways involved in regulating quiescent bout cycling in swimming C. elegans.","['prolonged swimming c elegans show locomotion quiescence', 'poorly understood beyond muscle energetics', 'c elegans show locomotion quiescence', 'model organism c elegans swimming', 'exerciseinduced quiescence distinct pathways underlie']"
14,1,Joel K Weltman,Medicine,"The SARS-CoV-2 coronavirus is the cause of the current worldwide coronavirus epidemic. The S1 domain of SARS-CoV-2 S spike protein functions to bind the virus to the target cell surface. Binding of the virus to the cell surface is followed by penetration of the virus into the interior of the target cell. An immunological study of the SARS-CoV-2 S1 domain is presented here. This study provides computational descriptions of the S1 protein B-cell epitopes. The goal of these computations is to guide and facilitate the development of the urgently needed, clinically potent anti-SARS-CoV-2 vaccines.
    The amino acid sequence of the S1 region of the S spike protein of QHD43416 SARS-Cov-2 virus was downloaded from the NCBI website. B-cell scores were calculated for the downloaded S1 amino acid sequence with IEDB BepiPred-2.0 Sequential B-cell Epitope Predictor. Further computational processing of the immunological scores was performed with Anaconda Python 3.7.6 on a HP desktop computer running Windows 10.
 
    There are 672 amino acid positions in the coronavirus S1 domain under study. The IEDB version 2 scores computed for these S1 positions are shown in the above figure. Because of the potential medical significance of coronavirus immuno-activity, this initial study focuses on those S1 positions with the greatest predicted epitope scores. As shown as red circles in the above figure, seven peptides were observed in the S1 domain with IEDB BepiPred-2.0 scores of all component amino acids equal to or greater than 0.6 IEDB units. The positions and amino acid sequences of these seven predicted epitopic peptide components of the viral S1 protein are:
Position                                      Sequence
(10-13)                                            QLPP
(131-138)                                        YYHKNNKS
(202-206)                                        DLPQG
(238-245)                                        PGDSSSGW
(405-411)                                        IADYNYK
(449-453)                                        KPFER
(617-628)                                        TPTWRVYSTGSN

It is proposed that the methodology and results presented here can be useful for the design of a SARS-CoV-2 vaccine.

","['position sequence qlpp yyhknnks dlpqg pgdsssgw iadynyk kpfer tptwrvystgsn', 'urgently needed clinically potent antisarscov vaccines', 'iedb bepipred sequential bcell epitope predictor', 'hp desktop computer running windows', 'seven predicted epitopic peptide components']"
15,1,Hyunjoon Lee,Data Science Initiative,"Our study examined a posteriori dietary patterns across study populations in the U.S. and their association with HNC. We used individual-level pooled data on 4,539 subjects from four case-control studies (Boston, Los Angeles, New York, and North Carolina) participating in the I International Head and Neck Cancer Epidemiology (INHANCE) Consortium. We simultaneously derived shared and study-specific a posteriori patterns with a novel approach called multi-study factor analysis (MSFA) applied to 23 nutrients. We derived odds ratios (ORs) and 95% confidence intervals (CIs) for cancers of the all HNC, oral cavity and pharynx combined, and larynx, from logistic regression models. We identified four shared dietary patterns that were reproducible across studies (74% variance explained): Animal products and fats, Cereals, Antioxidant vitamins and fiber, and Dairy products. Animal products and fats was inversely associated with laryngeal cancer risk (aOR=0.62, 95% CI: 0.42–0.91, highest vs. lowest score quintile). A linearly increasing trend in HNC and laryngeal cancer risk was observed for Dairy products. We also found that a study-specific factor for North Carolina (iron, folate, and fiber) was inversely associated with HNC (aOR=0.74, 95% CI: 0.58–0.95, highest vs. lowest score tertile) and oral cavity and pharyngeal cancer risk aOR=0.71, 95% CI: 0.52–0.96).","['laryngeal cancer risk aor ci – highest vs lowest score quintile', 'hnc aor ci – highest vs lowest score tertile', 'four casecontrol studies boston los angeles new york', 'novel approach called multistudy factor analysis msfa applied', 'pharyngeal cancer risk aor ci –']"
16,1,Robin Attey,Neuroscience,"Next generation RNA sequencing (RNA-Seq) technology is a powerful tool that has led to major recent discoveries in neuroscience (‘Breakthrough of the year’, Science 2018). RNA sequencing provides information about the evolution, development, and cellular components of neural circuits. However, sequencing produces large data sets which require new and sophisticated computational tools. I have developed a new computational approach to integrate results form next generation RNA sequencing (deep-seq) and single nuclei RNA sequencing (sn-seq) of mitral and tufted cells in the mouse olfactory bulb. Analysis of single nuclei revealed distinct molecular subtypes of mitral and tufted cells. Complementary bulk deep-seq datasets were generated using retrograde viruses at different injection sites, allowing the selection of mitral and tufted cells by projection target. To integrate these datasets, I performed gene network analysis on the single nuclei, then used this gene network to simulate biologically-realistic single nuclei from each deep-seq dataset. Simulated nuclei from different retrograde injections align with different molecularly distinct subtypes of mitral cells from the sn-seq data, suggesting that molecular differences correspond to different projection targets. Simulating single nuclei from deep-seq data facilitates the integration of these two types of data, providing information that cannot be extracted from either alone.","['neural circuits however sequencing produces large data sets', 'integrate results form next generation rna sequencing deepseq', 'year ’ science rna sequencing provides information', 'next generation rna sequencing rnaseq technology', 'single nuclei revealed distinct molecular subtypes']"
17,1,Natalie Rshaidat,Computer Science and CLPS,"Facial recognition has found its way into almost every sector of society. It is something we as humans do unconsciously every day. Researching the commonalities between how our brains and how top computer facial recognition systems detect and recognize faces can aid in understanding of the brain and optimizing facial recognition systems. The goal of my project was to research if current facial recognition systems detect and recognize faces in same manner that humans do. This was done by testing if known theories of human facial recognition such as the thatcher effect, the inverse effect, and pareidolia still hold for computer facial recognition systems. Facial detection related theories were tested with multi-task cascade neural nets (MTCNN) and facial recognition related theories were tested with support vector classifiers (SVC).  This research discusses computational facial recognition models in comparison to known theories on the human brain's mechanisms of facial recognition.","['computer facial recognition systems facial detection related theories', 'top computer facial recognition systems detect', 'research discusses computational facial recognition models', 'current facial recognition systems detect', 'multitask cascade neural nets mtcnn']"
18,2,Daniel,Li,"Machine learning has grown in use within the particle physics community to perform various tasks such as classifying signal versus background events and applying regression analysis to detector response corrections.  More recently, neural networks have been used to identify physically relevant characteristics of such events in a framework known as Variable Importance. In Variable Importance, a variable’s importance is quantified using the differential between the classification discriminator, the area under a receiver operating characteristic (ROC) curve,  from two trained networks.  One network has n inputs (seed) while another has n-1 inputs (subseed) where the excluded variable is being evaluated.  Variable Importance is discussed in context of the search for four top quark productions from proton-proton collisions at a center-of-mass energy of 13 TeV at the Large Hadron Collider (LHC) detected using the Compact Muon Solenoid (CMS) detector.  Data samples are generated using Monte Carlo, simulating both particle production and detector interactions.  Importance ranking results from a preliminary survey of multivariate variables is presented.","['compact muon solenoid cms detector data samples', 'large hadron collider lhc detected using', 'receiver operating characteristic roc curve', 'generated using monte carlo simulating', 'two trained networks one network']"
19,2,Shahrzad Haddadan,Computer Science,"Given a knowledge network like Wikipedia or a recommender system like Youtube or Amazon, users explore it by sequentially clicking links. A web surfer keen to learn about a topic explores a part of the network, and she is exposed to different, often opposing views. We say a surf is biased if all of the visited pages express the same view. If the topology of the links directs most of the users to biased surfs we say the network is ``structurally biased''

This work aims to define and measure structural bias in a network, and to suggest algorithms to decrease it. Assuming that pages in the network are labeled blue or red, we provide the following contributions:  
Firstly, for any page in the network, we define its ``bubble diameter'' to be the expected number of steps a surfer needs to take to visit a page of the opposite color. Secondly, to measure the structural bias of the network, we suggest efficient algorithms to find ``bad'' pages in the network: those pages whose bubble diameter is high. Thirdly, we devise efficient algorithms to modify the network and decrease the structural bias with little modification. Eventually, we apply our methods on real networks, i.e. Wikipedia and Amazon, and compare our results to other approaches.","['recommender system like youtube', 'real networks ie wikipedia', 'different often opposing views', 'knowledge network like wikipedia', 'pages whose bubble diameter']"
20,2,Seiji Shaw,Computer Science,"When humans plan to execute a new manipulation task, we do so by reasoning about the sequence of sub-tasks for successful execution. When repeating the task in novel environments resequencing of the tasks may be required, or additional subtasks may need to be introduced. Composing behavior from modular and composable units simplifies each learning task and vastly broadens the capabilities of the agent.

We formulate a novel representation of these subtasks, called a composable interaction primitive (CIP). Each CIP defines an initiation component that encapsulates the robot’s movement to a starting configuration for the execution of the subtask. While the desired motion trajectory of an initiation component can be solved using existing planning algorithms, they are prohibitively slow to recompute trajectories when tasks are resequenced in real-time.

We are considering locally-reactive motion-policies, which gives easier-to-compute robot accelerations based on proximity to local obstacles in the environment and goal configuration. Designing a single motion-policy to handle all obstacle avoidance and goal-reaching behavior is difficult. A promising computational framework, RMPFlow, allows us to define many motion policies that handle each objective separately (obstacle avoidance, goal-reaching, etc) and then synthesize them to compute a single policy to guide motion for the CIP initiation component.","['promising computational framework rmpflow allows us', 'objective separately obstacle avoidance goalreaching etc', 'solved using existing planning algorithms', 'gives easiertocompute robot accelerations based', 'define many motion policies']"
21,2,Caleb Trotz,Computer Science,"	Authoring 3D shapes by hand is time-consuming and inefficient for non-experts. Generative models provide compelling alternatives that capture a wide range of modes of variability in a given object class. For shapes with underlying hierarchical structure, such as part-based shapes, works in press introduce a generative model that captures purely structural variability, enabling coarse representation of each member of an object class. This generative model, a hierarchical Variational Auto-Encoder (VAE), encodes and reconstructs programs in a domain-specific language called ShapeAssembly. ShapeAssembly programs describe how to construct a series of bounding cuboids that represent the part hierarchy of the original shape. One fundamental problem remains: generating fine-grained geometry from this structural prior. 
We propose a generative model conditioned on the latent encodings from ShapeAssembly that learns the style of the shape. This generative model regresses a Signed Distance Function (SDF), which produces the signed distance from a point in ℝ3 to the surface of the shape, indicating whether a point is inside or outside the surface. Various neural network architectures are proposed to regress the SDF, including a Conditional Auto-Decoder and a Conditional VAE. We hypothesize that generating geometry conditioned on the entire shape’s structure will outperform part-level geometry generation.","['original shape one fundamental problem remains generating finegrained geometry', 'captures purely structural variability enabling coarse representation', 'domainspecific language called shapeassembly shapeassembly programs describe', 'nonexperts generative models provide compelling alternatives', 'surface various neural network architectures']"
22,2,Aarit Ahuja,Neuroscience,"The ability to predict future occurrences is a fundamental aspect of daily life. One way to engage in prediction can be through mental simulation. Simulation entails experiencing hypothetical versions of external events in the absence of sensory input. The result of a simulated experience may be used to guide a prediction of the future. It is possible to test the simulation hypothesis through our interactions with moving objects. As movement is inherently extended in time, one might rely on simulation to prospect on an object’s motion trajectory. Despite the intuitive appeal of simulation for prediction, empirical evidence for internal simulation of motion in humans has not been clear. Further, it is not known whether nonhuman primates (NHPs) possess this mental faculty. We have conducted a series of human and primate behavioural experiments showing that members of both species are able to employ simulation to solve complex problems of motion prediction. Preliminary human fMRI data further support the simulation hypothesis and show that motion-responsive regions of the brain are activated as subjects attempt to predict an object’s future path. We are currently collecting primate fMRI data as well, and will thus elucidate the neural mechanisms of simulation across species.","['mental simulation simulation entails experiencing hypothetical versions', 'known whether nonhuman primates nhps possess', 'motion prediction preliminary human fmri data', 'currently collecting primate fmri data', 'primate behavioural experiments showing']"
23,2,Linda Yu,Neuroscience,"Flexible, adaptive behavior requires learning structure from previous experiences that can generalize to completely novel situations. Although structure learning is critical to our ability to navigate the world and quickly adapt to new situations, it is not well understood how our brains instantiate this type of learning. Recently, an exciting new area of research proposes that a neural system previously known to underlie spatial navigation – the entorhinal grid cell system – may actually serve as a general mechanism for navigating not just physical spaces, but cognitive ones as well. We investigate whether such abstract grid representations might facilitate the transfer of information from one environment to another. We developed a task in which abstract grid representations can be dissociated through neuroimaging from more standard spatial grid representations, and test which of these patterns is observed in the concurrent with task performance, and the degree to which such patterns relate to behavioral measures of transfer learning. Our preliminary data show that participants are able to learn the abstract task structure and transfer it to novel stimuli and environments consistent with zero-shot learning, and that brain regions of interest encode abstract grid representations of the form that could facilitate such transfer.","['entorhinal grid cell system – may actually serve', 'flexible adaptive behavior requires learning structure', 'completely novel situations although structure learning', 'interest encode abstract grid representations', 'abstract grid representations might facilitate']"
24,2,Rex Liu,CLPS,"In spite of their great success at attaining superhuman performance in a wide range of tasks, artificial agents have shown extremely limited ability to generalise beyond the narrow settings in which they were trained. In contrast, one of the hallmarks of human intelligence is our ability to take knowledge acquired in familiar settings and transfer it to novel ones that share some underlying similarity. One key difference is that most tasks are highly structured and humans readily exploit this structure to help transfer knowledge; artificial agents, on the other hand, treat tasks as monolithic entities. In this work, we train agents to navigate a series of rooms using a hierarchical Dirichlet process model of the task structure. The model can be regarded as a generative model of the task structure. As the agent interacts with the environment, it learns both the elements of the hierarchy — in this case the reward and mapping functions — as well as the statistical correlations between them. When interacting with a novel room context, the agent can choose whether to transfer pre-existing knowledge about these elements and their correlations or whether to learn any of these de novo. Our agent is therefore able to transfer knowledge in a more compositional manner, thus allowing for faster adaptation to novel settings.","['underlying similarity one key difference', 'help transfer knowledge artificial agents', 'compositional manner thus allowing', 'shown extremely limited ability', 'hierarchical dirichlet process model']"
25,2,Olga Lositsky,CLPS,"How do we learn task representations that are general enough to span multiple contexts yet specific enough to maximize reward for a given context? In a series of experiments, Gershman et al. (2013, 2014) provided evidence that humans use Occam’s razor when grouping perceptual representations by context: observations are grouped together so long as they are similar enough, and only separated by context when the contexts make sufficiently different predictions. In situations when the world is constantly changing, their theory predicts that people will incorporate new information into their existing representation so long as it is not too surprising. However, large prediction errors should serve as a signal that the situation has changed and a new representation should be created. In this experiment, we tested whether the above theory predicts how task representations are learned in a changing environment. Our results suggest that when feedback changed gradually over time, participants grouped incoming observations with their existing task representation, which caused modification of the task set memory. In contrast, changing the feedback abruptly caused the creation of a new task set and prevented the initial memory from interference.","['experiments gershman et al provided evidence', 'span multiple contexts yet specific enough', 'contexts make sufficiently different predictions', 'surprising however large prediction errors', 'time participants grouped incoming observations']"
26,2,Emily Chicklis,CLPS,"Neural representations have the geometric property of dimensionality, which reflects both how neurons encode information as well as the accessibility of that information. High-dimensional representations are characteristic of the prefrontal cortex (pFC), but such representations can be difficult to decode with typical pattern analysis methods.

In 2016, Rigotti and Fusi’s paper “Estimating the dimensionality of neural responses with fMRI Repetition Suppression” introduced a novel, adaptation-based simulation for estimating the dimensionality of neural responses. However, the simulation models the blood-oxygen-level-dependent (BOLD) response as a linear sum of spiking activity. This methods project attempts to replicate a key finding from that paper after incorporating the canonical BOLD time course: namely, that the simulation method produces dimensionality
estimates that are highly correlated with the true dimensionalities. This correlation is in fact replicated, though differences from the 2016 paper do emerge. Overall, this simulation remains a promising method for realistically estimating dimensionality in areas like the pFC.","['fmri repetition suppression ” introduced', 'canonical bold time course namely', 'simulation method produces dimensionality estimates', 'fact replicated though differences', 'typical pattern analysis methods']"
27,3,Xavier Coubez,Department of Physics,"Jet classification and application to Higgs physics in the CMS Collaboration at the LHC

In particle physics at hadron colliders such as the LHC, jet classification is the task of separating sprays of particles emerging from the decay of different elementary particles called quarks using their properties. In the last few years, such algorithms have benefited from the use of increasingly complex deep neural network architectures. This challenging classification task has been a key element of analyses studying the coupling of the Higgs boson to quarks. Improved performance are now allowing to probe physics processes thought to be unreachable. Brown CMS group has been historically involved in developing algorithms to classify jets, study the agreement between simulation and the data taken with the CMS detector, and deriving corrections to the simulation to match the data.

The talk will cover the strategy followed during the last years to improve performance of algorithms, as well as two analyses who benefited from such developments and allowed to probe with unprecedented precision the coupling of the Higgs boson to quarks. It will open on some new challenges particle physics is facing, related to the use of more and more advanced machine learning techniques.
","['increasingly complex deep neural network architectures', 'different elementary particles called quarks using', 'advanced machine learning techniques', 'unreachable brown cms group', 'new challenges particle physics']"
28,3,Ivan Felipe Rodriguez,CLPS/Carney Institute,"Taxonomy in living plants is highly dependent on visual features that can be observed at naked eye. However when more details and complex structures are needed in order to further comprehend the division among families, species, etc. ML methods can be of benefit as they dinamically are able to learn an embedded representation of  these features and possibly even a non-trivial combination of them, generating a reliable distinction. In this work, we want to extend this idea into an even harder problem. We would use photos of extinct fossil leafs to perform a matching to living leafs, in effect finding the closest living parent of a  dead leaf. Given the scarcity of the samples available for fossils, we propose a style transfer approach that let us leverage the  availability of cleared leafs. And in order to maintain the structure of the representation, we use a triplet loss that combines in-style and transfer style sampling to achieve cross domain representation.  ","['division among families species etc ml methods', 'achieve cross domain representation', 'transfer style sampling', 'style transfer approach', 'naked eye however']"
